google_title,google_url,google_snippet,instagram_username,instagram_full_name,instagram_bio,instagram_followers,instagram_following,instagram_posts_count,instagram_website,instagram_email,instagram_phone,instagram_location,instagram_category,instagram_profile_url
Café da Mata ☕️ Melhor Cafeteria Região (@cafedamatasjc) • Instagram photos and videos,https://www.instagram.com/cafedamatasjc/,"70K Followers, 4 Following, 1765 Posts - Café da Mata ☕️ Melhor Cafeteria Região. (@cafedamatasjc) on Instagram: \"" Estacionamento Gratuito Área Kids Pet&nbsp;...",cafedamatasjc,,,,,,,,,"Rua Luiz Jacinto 316, centro de São José dos Campos",,https://www.instagram.com/cafedamatasjc/
Origem Cultural Cafeteria (@origemcultural),https://www.instagram.com/origemcultural/,"PERFIL OFICIAL ❤️ A cafeteria preferida do Vila Ema. ⏰ Segunda a sexta das 11h as 19h ⏰Sábado das 09h as 20h30. Rua Jorge Barbosa Moreira, 58, Vila Ema,&nbsp;...",,,,,,,,,,,,https://www.instagram.com/origemcultural/
Café em São José ☕️ (@cafes.sjc),https://www.instagram.com/cafes.sjc/,"Com cardápio variado (que inclui cuscuz e itens sem lactose), ambiente aconchegante, atendimento impecável e capricho em tudo, o Café Lagoinha tem o nosso ...",cafes.sjc,Café em São José ☕️,,,,,,,,São José,,https://www.instagram.com/cafes.sjc/
Jardim do Café | Cafés especiais (@jardimdocafe),https://www.instagram.com/jardimdocafe/,"VOCÊ MERECE UMA PAUSA! Rua Patativa, 101 - Vila Tatetuba / SJC Seg. a Sex: 14h às 20h. Sábado: 9h15 às 17h45. Cardápio ⬇️. linktr.ee/jardimdocafecafeteria.",,,,,,,,,,,,
🍴LUGARES DO VALE por Chef Léo Fiorita🍴 | ☕️ 4 ...,https://www.instagram.com/lugaresdovale/reel/C7PiY4aOUjT/,"4536 likes, 132 comments - lugaresdovale on May 21, 2024: ""☕️ 4 LUGARES INCRÍVEIS PRA VOCÊ TOMAR UM BOM CAFÉ AQUI EM SJC Tem cortesia até ...",,,,,,,,,,,,
MadaH Café (@madahcafe),https://www.instagram.com/madahcafe/,Estamos localizados dentro do @parquevicentina. Funcionamento: terça-feira a sábado 8h-21h e Domingo 8h-18h. Feriados: 8h-21h. Rua Eng. Prudente Meireles de ...,,,,,,,,,,,,
Unidade Heitor Villa Lobos (@mais1cafe.sjc),https://www.instagram.com/mais1cafe.sjc/,"O café especial que TODO MUNDO AMA | Eventos especiais para sua reunião de negócios. Faça seu pedido. Av Heitor Villa Lobos, 1388, São José dos Campos.",,,,,,,,,,,,
Ambrone Café e Doceria,https://www.instagram.com/ambrone/,"Café e Doceria em São José dos Campos. Av Nove de julho, 153 Vila Adyana-SJC ⏰ das 9h às 20 Av Cassiano Ricardo, 401 Jd Aquarius ⏰ das 8h às 20h.",,,,,,,,,,,,
Cheirin Bão Vila Ema - Cafeteria São José dos Campos,https://www.instagram.com/cheirinbaovilaemasjc/,☕️| Um pedacinho de Minas em SJC | Vila Ema - Em frente ao Vila Real ⏰| Seg a Sex das 08h às 19h30 - Sábado das 08h às 18h · Photo by Cheirin Bão Vila Ema - ...,,,,,,,,,,,,
Fika Cafés Especiais (@fikacafes),https://www.instagram.com/fikacafes/,Cafés Especiais / Experiências Únicas ✨ Descubra nossas unidades e franquias! Quer ter sua própria Fika? Saiba como. www.fikacafes.com.br.,,,,,,,,,,,,
Café da Mata ☕️ Melhor Cafeteria Região. ...,https://www.instagram.com/cafedamatasjc/,"70K Followers, 4 Following, 1765 Posts - Café da Mata ☕️ Melhor Cafeteria Região. (@cafedamatasjc) on Instagram: "" Estacionamento Gratuito Área Kids Pet&nbsp;...",,,,,,,,,,,,
Origem Cultural Cafeteria (@origemcultural),https://www.instagram.com/origemcultural/,,,,,,,,,,,,,
